"","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun","richness","shannon","simp.even"
"225","1","LM-10-204","early",2010,10,3,"M","J",517.95,163,92,30,5.79,18.4,17.76233227,2,269,3.76561136249054,0.0732676663702784
"226",NA,"LM-10-258","early",2010,10,5,"F","A",424.26,NA,NA,NA,NA,NA,NA,2,269,3.77844119079215,0.0858425137182233
"227","2","LM-10-215","early",2010,10,4,"F","J",435,173,86,38,8.74,21.97,19.77011494,2,216,3.20504290301897,0.0567565472818245
"228",NA,"LM-10-071","early",2010,10,2,"F","J",461,183,93,39,8.46,21.31,20.17353579,2,244,3.26511766432553,0.0522251147426035
"229","2","LM-10-225","early",2010,10,5,"M","A",540,179,91,37,6.85,20.67,16.85185185,2,187,3.12312104981294,0.0644357603479001
"230",NA,"LM-10-054","early",2010,10,5,"F","J",486.14,182,94,38,7.82,20.88,19.33599375,2,288,3.73883857031614,0.0711386211982192
"231",NA,"LM-10-075","early",2010,10,2,"M","J",512.04,183,89,40,7.81,21.86,17.38145457,2,249,3.59618419196317,0.0847986113422995
"232","2","LM-10-031","early",2010,10,2,"F","J",451.13,210,107,46,10.2,21.9,23.7182187,2,278,3.24572998663784,0.0343577839648654
"233","2","LM-10-074","early",2010,10,2,"F","J",401.04,178,86,40,9.97,22.47,21.44424496,2,261,3.80196468003825,0.106455856910503
"234","2","LM-10-289","early",2010,10,6,"F","J",469.85,165,84,35,7.45,21.21,17.87804618,2,253,3.61208495252053,0.0604825711292045
"235","1","LM-10-293","early",2010,10,6,"M","A",530.69,165,83,35,6.6,21.21,15.64001583,2,221,3.09390570782488,0.0565036088115754
"236","1","LM-10-222","early",2010,10,4,"M","A",481.04,154,80,32,6.65,20.78,16.63063363,2,246,3.33501643359877,0.0514226252169432
"237","1","LM-10-223","early",2010,10,4,"M","J",504.21,177,82,42,8.33,23.73,16.26306499,2,257,3.66894025553332,0.0744537757484023
"238","1","LM-10-191","early",2010,10,3,"F","J",489.23,NA,NA,NA,NA,NA,NA,2,312,3.98975785394135,0.0945947605758604
"239","2","LM-10-067","early",2010,10,3,"F","J",429.26,164,81,36,8.39,21.95,18.86968271,2,275,3.59737643238446,0.0566279766229599
"240","1","LM-10-068","early",2010,10,3,"M","J",547.12,187,95,40,7.31,21.39,17.36364966,2,281,4.05890689456219,0.113491380042156
"241","1","LM-10-100","early",2010,10,4,"M","J",496.71,181,92,39,7.85,21.55,18.52187393,2,258,3.73570859317072,0.0856009056829506
"242","1","LM-10-136","early",2010,10,2,"M","A",503.08,178,87,39,7.75,21.91,17.29347221,2,277,4.02281114665388,0.113262986957571
"243","1","LM-10-131","early",2010,10,2,"M","A",537.44,NA,NA,NA,NA,NA,NA,2,270,3.97834843956314,0.126842605909385
